Transaction Start Date,Agent,Chat Duration,Teams,Session Name,Chat Closed By,Interactive Chat,Browser,Operating System,Geo,Response Time of Agent,Response time of Visitor,Transaction End Date,Customer Rating,Customer Comment,Transferred Chat,Customer Wait Time,Text
6/8/2018 23:59,Kim,0:06:24,Mobile Service Team,Session:2057187615:23349,Customer,TRUE,Other,11.3,null,0:00:22,0:00:24,7/8/2018 0:05, , ,FALSE,0:00:01,---
6/8/2018 23:58,Able,0:27:25,Mobile Service Team,Session:2057187618:23287,Customer,TRUE,Safari,MacOS,Australia,0:00:37,0:00:32,7/8/2018 0:26, , ,FALSE,0:00:00,My question is if I need to reclaim my luggage at each stopover and check it in again or will it simply just be transferred to the next flight?
6/8/2018 23:58,Marie,0:06:50,Mobile Service Team,Session:2057187615:23344,Customer,TRUE,Other,11.4.1,null,0:00:22,0:00:13,7/8/2018 0:05, , ,FALSE,0:00:01,"Can anyone please share their experiences with this airline and this class of seats? Are the planes new, safe, reliable? "
6/8/2018 23:58,Drugi,0:02:05,Mobile Service Team,Session:2057187615:23341,System,FALSE,Other,Android 7.1.1,null,0:00:00,0:00:00,7/8/2018 0:00, , ,FALSE,0:00:02,---
6/8/2018 23:58,Patt,0:11:02,Mobile Service Team,Session:2057187614:23362,Representative,TRUE,mobile_safari~11,iOS-11.4.1,Australia,0:00:22,0:00:43,7/8/2018 0:12,10,Yes Resolved,FALSE,0:00:01,They know they have to change terminals at LHR but will the luggage go straight through?
6/8/2018 23:58,Sarah,0:49:29,Sales Team,Session:2057187648:23221,Customer,TRUE,Chrome,Windows,Australia,0:00:22,0:00:45,7/8/2018 0:47,8,No question,FALSE,0:00:00, I just changed my seats to the upstairs after reading some reviews. I need to know if we are the last ones off the plane 
6/8/2018 23:57,Lavinia,0:09:22,Mobile Technical Team,Session:2057187648:23219,Representative,TRUE,c~40.0.2214.109,Android-4.4.2,Australia,0:01:40,0:01:39,7/8/2018 0:07, , ,FALSE,0:00:00,We're flying business class with Malaysia airlines into Bangkok Can anyone tell me whether we'd be able to use the Malaysia Airlines lounge at Bangkok whilst we wait. 
6/8/2018 23:57,Nicole,0:28:18,Sales Team,Session:2057187615:23320,System,TRUE,c~68.0.3440.85,Android-5.0.2,Australia,0:00:41,0:02:39,7/8/2018 0:26, , ,FALSE,0:00:00,---
6/8/2018 23:57,Muthuluri,1:01:51,Sales Team,Session:2057187647:23226,Customer,TRUE,Other,Android 8.0.0,null,0:00:41,0:00:33,7/8/2018 1:03,10,Yes Resolved,TRUE,0:00:00,I know it states that u should always get travel socks going by your shoe size but what compression rating is the best 
6/8/2018 23:57,Pamera,0:46:57,Sales Team,Session:2057187647:23224,Customer,TRUE,Other,11.4,null,0:00:51,0:00:35,7/8/2018 0:46,10,No question,TRUE,0:01:30,Is free beer/spirits still supplied free of charge when travelling in Economy on transatlantic flights?
